epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,4657.39,0.91023,1.29151,1.24344,0.70112,0.59576,0.66052,0.54082,0.76758,1.08329,1.15802,0.00267924,0.00267924,0.00267924
56,4739.39,0.89493,1.27391,1.23435,0.76528,0.59299,0.67823,0.55369,0.75323,1.04541,1.14937,0.0026733,0.0026733,0.0026733
57,4821.32,0.89443,1.23494,1.22911,0.74812,0.618,0.67535,0.55559,0.75368,1.0509,1.15247,0.00266736,0.00266736,0.00266736
58,4903.38,0.88598,1.25506,1.23719,0.73651,0.6175,0.67443,0.55193,0.76943,1.03949,1.15412,0.00266142,0.00266142,0.00266142
59,4985.5,0.90388,1.2578,1.24515,0.73644,0.60742,0.68242,0.55755,0.75887,1.07871,1.15345,0.00265548,0.00265548,0.00265548
60,5067.38,0.90072,1.25055,1.23691,0.76955,0.60186,0.68724,0.56135,0.76721,1.02866,1.16149,0.00264954,0.00264954,0.00264954
61,5148.87,0.87106,1.20706,1.22964,0.78623,0.60002,0.68768,0.56417,0.75792,1.03996,1.14504,0.0026436,0.0026436,0.0026436
62,5230.58,0.87256,1.20048,1.2182,0.77436,0.59806,0.67584,0.55646,0.76095,1.03628,1.15451,0.00263766,0.00263766,0.00263766
63,5312.41,0.88029,1.20657,1.21842,0.7675,0.61247,0.67873,0.55878,0.75054,1.0441,1.14175,0.00263172,0.00263172,0.00263172
64,5394.08,0.86117,1.20341,1.22137,0.77326,0.61037,0.68452,0.56026,0.7486,1.04802,1.14367,0.00262578,0.00262578,0.00262578
65,5475.8,0.87105,1.1962,1.21925,0.75551,0.62633,0.69017,0.566,0.73469,0.99932,1.13351,0.00261984,0.00261984,0.00261984
66,5557.62,0.85926,1.17579,1.21061,0.7926,0.60293,0.67738,0.555,0.76066,1.02804,1.15297,0.0026139,0.0026139,0.0026139
67,5639.53,0.87054,1.14415,1.20924,0.74758,0.62373,0.69211,0.5659,0.74761,0.98459,1.13574,0.00260796,0.00260796,0.00260796
68,5721.52,0.85807,1.13947,1.2042,0.77176,0.62902,0.70339,0.57864,0.74026,0.96063,1.13498,0.00260202,0.00260202,0.00260202
69,5803.21,0.85114,1.12613,1.20885,0.75047,0.6275,0.7051,0.58123,0.73579,0.98575,1.12902,0.00259608,0.00259608,0.00259608
70,5884.89,0.8466,1.12803,1.20235,0.75273,0.62306,0.69924,0.57539,0.75559,1.00391,1.14393,0.00259014,0.00259014,0.00259014
71,5966.33,0.84878,1.13295,1.20862,0.7426,0.64509,0.70701,0.58574,0.73089,0.96058,1.12956,0.0025842,0.0025842,0.0025842
72,6048.21,0.83977,1.0866,1.19452,0.78127,0.64827,0.71733,0.59325,0.72866,0.94301,1.12271,0.00257826,0.00257826,0.00257826
73,6130.01,0.84878,1.10063,1.19501,0.77024,0.62681,0.71191,0.58832,0.7286,0.94057,1.12104,0.00257232,0.00257232,0.00257232
74,6211.42,0.83227,1.10518,1.19869,0.73679,0.65848,0.72286,0.59699,0.72472,0.91993,1.12722,0.00256638,0.00256638,0.00256638
75,6293.14,0.84652,1.0894,1.19323,0.75036,0.66357,0.72344,0.59389,0.72214,0.93634,1.12169,0.00256044,0.00256044,0.00256044
76,6374.68,0.83474,1.07602,1.19127,0.78052,0.64957,0.72551,0.59472,0.73064,0.91824,1.12497,0.0025545,0.0025545,0.0025545
77,6455.86,0.82852,1.06727,1.1937,0.74834,0.63717,0.71455,0.59147,0.7282,0.91726,1.12586,0.00254856,0.00254856,0.00254856
78,6537.31,0.84112,1.0825,1.1971,0.76403,0.65688,0.72569,0.59761,0.72397,0.92724,1.12235,0.00254262,0.00254262,0.00254262
